sampleID	SRR10070130	SRR10070131	SRR10070134	SRR10070135	SRR10070136	SRR10070137	SRR10070148	SRR10070149	SRR10070150	SRR10070151	SRR10070152	SRR10070153	SRR10102389	SRR10102390	SRR10102391	SRR10102392	SRR10102393	SRR10102394
 Treatment	RiverWater	RiverWater	RiverWater	RiverWater	RiverWater	RiverWater	Sediment	Sediment	Sediment	Sediment	Sediment	Sediment	Soil	Soil	Soil	Soil	Soil	Soil# Constructed from biom file
#OTU ID	SRR10070130	SRR10070131	SRR10070134	SRR10070135	SRR10070136	SRR10070137	SRR10070148	SRR10070149	SRR10070150	SRR10070151	SRR10070152	SRR10070153	SRR10102389	SRR10102390	SRR10102391	SRR10102392	SRR10102393	SRR10102394
9da18466af58421db2c17c18c8e378c8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	23.0	24.0	0.0	0.0	0.0
7addd45b60e76495304c4d4dfc9433d1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.0	35.0	41.0
79c18ec88e3d4a3650837e44dadbdeef	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	10.0	171.0	141.0	72.0	148.0	105.0	95.0
41923b6a06d6c6aa5489178bb3f08a10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
32fcaa8d6c6a1ce79b88bf6bd70cfc9e	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0
efffde75edec88b8a281bb04e6293a06	6.0	0.0	0.0	16.0	20.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2a1b95f280310734ee9a73f6e4fe75e7	0.0	0.0	0.0	0.0	0.0	0.0	99.0	0.0	44.0	0.0	72.0	112.0	191.0	180.0	113.0	194.0	172.0	150.0
ce3846af7fad2c75f5082a7f17b7720b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	13.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
